S. No.,Name of State Road Transport Undertaking (SRTU),Central Govt Contribution (in lakh) - 2018-19,Central Govt Equity (if any) (in lakh) - 2017-18,Central Govt Equity (if any) (in lakh) - 2016-17,State Govt Contribution (In lakh) - 2018-19,State Govt Contribution (In lakh) - 2017-18,State Govt Contribution (In lakh) - 2016-17,General and Other Reserves (in lakh) - 2018-19,General and Other Reserves (in lakh) - 2017-18,General and Other Reserves (in lakh) - 2016-17,Debentures (in lakh) - 2018-19,Debentures (in lakh) - 2017-18,Debentures (in lakh) - 2016-17,Loans from Banks and Financial Institutions (in lakh) - 2018-19,Loans from Banks and Financial Institutions (in lakh) - 2017-18,Loans from Banks and Financial Institutions (in lakh) - 2016-17,Employee and Public Deposits (in lakh) - 2018-19,Employee and Public Deposits (in lakh) - 2017-18,Employee and Public Deposits (in lakh) - 2016-17,Security and earnest Money deposits (in lakh) - 2018-19,Security and earnest Money deposits (in lakh) - 2017-18,Security and earnest Money deposits (in lakh) - 2016-17,Others (in lakh) - 2018-19,Others (in lakh) - 2017-18,Others (in lakh) - 2016-17,Total Capital and Liablities - 2018-19,Total Capital and Liablities - 2017-18,Total Capital and Liablities - 2016-17
1,Andhra Pradesh SRTC,3562,3562,3562,7953,7953,7953,810967,794098,763371,0,0,0,414838,366113,328790,0,0,0,25087,20297,18243,634540,574274,761891,1896947,1766297,1883810
2,Assam STC,NA,377.58,798.67,74229.35,72086.57,71709.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,375.22,367.92,218.88,NA,NA,NA,74604.57,72832.07,72726.68
3,Bangalore Metropolitan TC,NA,NA,NA,15771.73,18165.57,21841.73,166902.14,129994.22,128503.04,0,0,0,81140.82,102533.96,61656.46,0,0,0,4276.85,4594.76,4436.53,100582.89,74462.34,58456.64,368674.43,329750.85,274894.4
4,Bihar SRTC,2652,2652,2652,7476,7476,7476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10128,10128,10128
5,Delhi TC,0,0,0,198385,198385,198385,188109.51,171839.78,154547.4,NA,NA,NA,1167614.46,1167614.46,1167614.46,NA,NA,NA,1912.18,1640.88,1415.26,2664503.73,2175281.09,1719615.94,4220524.88,3714761.21,3241578.06
6,Gujarat SRTC,10627.81,10627.81,10627.81,331795.29,310346.23,252963.15,1626.08,1634.09,1642.27,0,0,0,314802.3,303535.8,289348.33,12003.41,10004.54,9220.75,7836.33,5712.09,6463.78,43893.18,41368.03,40140.33,722584.4,683228.59,610406.42
7,Himachal RTC,1544,1544,1544.45,76405,70505,65504.71,55318,49634,46785.44,0,0,0,13433,20125,21135.16,0,NA,16648.23,337,406,361.8,77058,64131,34368.34,224095,206345,186348.13
8,Jammu and Kashmir SRTC,449,150,223,1790,375,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2239,525,723
9,Karnataka SRTC ,4809.76,4809.76,4809.76,24278.94,24278.94,24278.94,26409.36,21591.59,19973.36,0,0,0,25223,28237.96,15768.94,0,0,0,20091.07,16930.1,12000.68,191781.15,183801.97,169494.21,292593.28,279650.32,246325.89
10,Kerala SRTC,NA,NA,NA,79125,79125,79125,NA,NA,NA,NA,NA,NA,302400,310000,284404,NA,NA,NA,NA,NA,NA,892279,1009230,487436,1273804,1398355,850965
11,Maharashtra SRTC,5677.43,5677.43,5677.43,464382.54,412751.51,363319.61,363821.43,247306.29,356573.98,0,0,0,20000,20000,20000,2076.15,2413.72,2794.58,19084.05,16548.17,13167.37,220067.83,210671.85,95047.38,1095109.43,915368.97,856580.35
12,Meghalaya STC,NA,NA,NA,200,150,280,0,0,12.13,0,0,0,0,0,0,0,0,0,0,0,46.57,0,0,465.53,200,150,804.23
13,North Bengal STC,482.52,482.52,482.52,587.04,587.04,587.04,1200.41,1201.62,1202.84,NA,NA,NA,257.63,257.63,1094.63,NA,NA,NA,286.96,254.31,245.17,10194.68,10484.02,13018.89,13009.24,13267.14,16631.09
14,North Eastern Karnataka RTC,NA,NA,NA,131.12,131.12,131.12,564.95,579.56,485.38,0,0,0,135.47,70.88,44.54,0.09,0.12,0.32,0,0,0,844.47,768.23,660.31,1676.1,1549.91,1321.67
15,North Western Karnataka RTC,22715.45,22715.45,22715.45,14230.67,14230.67,14230.67,105371.47,91700.22,86961.89,0,0,0,13353.87,14830.6,12454.24,13236.7,7576.18,6285.46,0,0,0,78511.04,69589.7,62574.5,247419.2,220642.82,205222.21
16,Odisha SRTC,1592.27,1592.27,1592.27,27853.76,20650.83,16650.83,797.46,816.75,910.3,0,0,0,0,0,0,0,0,0,1046.38,896.31,851.55,14120.01,18111.47,16226.57,45409.88,42067.63,36231.52
17,Pepsu RTC,2435.54,2435.54,2435.54,61416.74,30708.37,30708.37,5756.06,7503.64,8330.28,NA,NA,NA,4432.22,4963.02,4519.77,NA,NA,NA,848.14,845.15,653.86,39610.25,38428.21,NA,114498.95,84883.93,46647.82
18,Rajasthan SRTC,2682.75,2682.75,2682.75,61213.5,61213.5,61213.5,854806.8,842940.18,835435.47,67500,67500,67500,68250.81,61115.81,58691.81,238.26,235.95,231.31,3099.15,3139.6,3314.72,262922.98,261589.83,254376.29,1320714.25,1300417.62,1283445.85
19,South Bengal STC,NA,NA,NA,1100.93,1100.93,1100.93,0,0,0,0,0,0,0,0,0,0,0,0,111.97,113.26,89.24,109123.67,95833.09,86213.7,110336.57,97047.28,87403.87
20,Telangana SRTC,2545.4,2545.4,2545.4,50551.7,50551.7,50551.7,528280.22,514660.34,500186.85,0,0,0,323471.68,291183.02,248316.95,0,0,0,0,0,0,473778.75,379882.59,323855.73,1378627.75,1238823.05,1125456.63
21,Tripura RTC,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
22,Uttar Pradesh SRTC ,6001.45,6001.45,6001.45,86617.76,81617.76,76617.76,34857.7,40719.44,27970.96,NA,NA,NA,4172.27,4672.27,14988,5633.76,5086.34,5213.15,NA,NA,NA,165211.97,144763.84,146108.76,302494.91,282861.1,276900.08
23,Uttarakhand  TC,9.24,9.24,9.24,229.36,229.36,229.36,NA,NA,NA,NA,NA,NA,53.62,75.36,93.65,7.65,6.88,5.48,275.19,249.38,235.78,114.85,114.85,114.85,689.91,685.07,688.36
24,Puducherry Road Transport corp,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
NA,TOTAL Corporations,67786.62,67865.2,68359.74,1585724.43,1462619.1,1345357.55,3144788.59,2916219.72,2932892.59,67500,67500,67500,2753579.15,2695328.77,2528920.94,33196.02,25323.73,40399.28,84667.49,71994.93,61744.19,5979138.45,5352786.11,4270064.97,13716380.75,12659637.56,11315239.26
25,Kadamba TC Ltd.,NA,NA,NA,10844.95,9464.33,9464.33,7580.48,7499.68,6917.46,0,0,0,2257,2332.54,2697.82,NA,0,0,73.08,55.75,45.05,11644.74,11353.67,10055.15,32400.25,30705.97,29179.81
26,Metro TC (Chennai) Limited,NA,NA,NA,82203.19,82203.19,58930.51,7658.63,2403.05,1393.37,0,0,0,29415.75,23826.91,13606.08,0,0,0,1125.06,877.56,1076.04,402732.22,335268.11,283121.51,523134.85,444578.82,358127.51
27,PUNBUS,0,0,0,5615,5615,5615,48597.59,48902.51,48799.6,0,0,0,8574.01,3188.14,4682.31,0,0,0,230.87,283.36,261.28,12796.49,15219.36,12917.49,75813.96,73208.37,72275.68
28,State Exp.TC TN Ltd.,NA,NA,NA,63881.6,63881.6,36033.06,140.86,143.33,129.38,0,0,0,100256.8,64222.24,64816.29,2.61,2.61,2.61,554.53,425.71,449.16,81232.78,84140.44,87486.12,246069.18,212815.93,188916.62
29,TN STC (Coimbatore) Ltd.,386.31,372.87,327.21,185771.78,81853.36,61461.85,10282.85,2053.22,616.18,0,0,0,78047.59,76314.59,52372.94,0,0,0,0,0,0,256040.04,281113.32,217504.13,530528.57,441707.36,332282.31
30,TN STC (Kumbakonam) Ltd.,0,0,0,33468.29,33468.29,33468.29,5271.26,2600.48,458.88,0,0,0,149784.62,112605.76,91951.72,92.22,91.89,91.5,313.71,337.63,329.92,259391.76,226088.91,169983.57,448321.86,375192.96,296283.88
31,TN STC (Madurai) Ltd.,84314.9,52569.36,51698.19,0,0,0,2849.74,1355.06,541.65,0,0,0,130582,101288.4,74981.58,0,0,0,0,0,0,228568.72,227670.14,199435.71,446315.36,382882.96,326657.13
32,TN STC (Salem) Ltd.,0,0,0,52214.74,16798.81,16798.81,1737.74,844.96,414.29,0,0,0,62187.3,63693.28,45089.19,0,0,0,0,0,0,221414.69,193531.84,137166.68,337554.47,274868.89,199468.97
33,TN STC (Villupuram) Ltd.,25311.94,25311.94,25311.94,0,0,0,1444.44,764.36,767.42,0,0,0,97948.27,66549.54,48864.91,0,0,0,652.33,569.63,554.73,279506.07,249334.29,163450.7,404863.05,342529.76,238949.7
34,TN STC ( Tirunelvell) Ltd.,0,0,0,14131.13,13316.84,13316.84,4550.19,1172.96,377.56,0,0,0,197482.23,164774.04,154024.14,81927.34,55140.07,63239.37,106.11,107.3,106.81,98612.87,99718.25,44766.42,396809.87,334229.46,275831.14
NA,TOTAL Companies,110013.15,78254.17,77337.34,448130.68,306601.42,235088.69,90113.78,67739.61,60415.79,0,0,0,856535.57,678795.44,553086.98,82022.17,55234.57,63333.48,3055.69,2656.94,2822.99,1851940.38,1723438.33,1325887.48,3441811.42,2912720.48,2317972.75
35,Andaman & Nicobar ST,0,0,0,90.45,86.15,80.66,902.18,840.98,782.44,NA,NA,NA,5.1,4.83,3.76,NA,NA,NA,NA,NA,NA,3.68,2.64,2.24,1001.41,934.6,869.1
36,Arunachal Pradesh ST,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
37,Chandigarh TU,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
38,Haryana ST,1575.36,1532.12,1381.65,0,0,0,443.73,396.45,350.71,0,0,0,0,0,0,0,0,0,0,0,0,304.97,287.71,271.42,2324.06,2216.28,2003.78
39,Mizoram ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Nagaland ST,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
41,State Transport Punjab,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
42,Sikkim NT ,290,297,217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290,297,217
NA,Total Govt Deptts.,1865.36,1829.12,1598.65,90.45,86.15,80.66,1345.91,1237.43,1133.15,0,0,0,5.1,4.83,3.76,0,0,0,0,0,0,308.65,290.35,273.66,3615.47,3447.88,3089.88
43,Ahmedabad Janmarg Ltd,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,886.07,914.91,797.96,730.16,241.32,311.91,1616.23,1156.23,1109.87
44,Ahmedabad MTC ,0,0,0,0,0,0,11477.33,11260.49,10606.07,0,0,0,0,0,0,0,0,0,3990.32,1731.2,1836.87,293671.31,261228.67,229168.33,309138.96,274220.36,241611.27
45,BEST Undertaking,0,0,0,NA,NA,NA,408462.02,457819,419523.82,NA,NA,NA,92932.66,118784.87,93828.75,NA,NA,NA,NA,NA,NA,54784.83,55952.72,30878.01,556179.51,632556.59,544230.58
46,Kolahpur MTU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,Navi Mumbai MT,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,346.87,594.66,827.36,159.36,154.48,124.15,380.1,316.73,293.27,NA,NA,NA,886.33,1065.87,1244.78
48,Pune Mahamandal ,0,0,0,0,0,0,7086.67,3293.61,1982.76,0,0,0,0,0,204.22,16.58,16.15,15.93,1165.55,1516.53,1504.89,42707.05,39847.38,34804.08,50975.85,44673.67,38511.88
49,Solapur MT,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.75,NA,NA,95.57,44.91,60.09,NA,NA,NA,NA,NA,NA,104.32,44.91,60.09
50,Thane MT,69887.47,50913.89,41075.35,NA,NA,NA,17796.71,15546.79,15792.98,NA,NA,NA,NA,NA,NA,70.35,78.4,37.99,NA,NA,NA,9490.22,7269.86,9478.99,97244.75,73808.94,66385.31
51,Kalyan Dombivali MT,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,800,390,500,800
NA,Total Muncipal undertakings,70277.47,50913.89,41075.35,0,0,0,444822.73,487919.89,447905.63,0,0,0,93288.28,119379.53,94860.33,341.86,293.94,238.16,5535.97,3564.46,3635.03,400653.41,364798.63,305129.41,1014919.72,1026870.34,892843.91
52,DELHI INTEGRATED MTS,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
NA,Total Associate members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Agra-Mathura City TSL,0,0,0,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4809.57,4833.17,4678.73,4814.57,4838.17,4683.73
54,Jaipur City TS Ltd,0,0,0,1000,1000,1000,12276.58,12582.93,8932.09,0,0,0,9865,9865,10065,0,0,0,237.87,191.02,179.59,10656.49,8055.2,8063.08,34035.94,31694.15,28239.76
55,Meerut City TSL ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,KANPUR CITY TSL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Total Special Purpose Vehicle,0,0,0,1005,1005,1005,12276.58,12582.93,8932.09,0,0,0,9865,9865,10065,0,0,0,237.87,191.02,179.59,15466.06,12888.37,12741.81,38850.51,36532.32,32923.49
NA,Total (Reporting SRTUs),249942.6,198862.38,188371.08,2034950.56,1770311.67,1581531.9,3693347.59,3485699.58,3451279.25,67500,67500,67500,3713273.1,3503373.57,3186937.01,115560.05,80852.24,103970.92,93497.02,78407.35,68381.8,8247506.95,7454201.79,5914097.33,18215577.9,16639208.6,14562069.3
